address,lat,lng
"76 Lê Thiện Trị, Phường Hoà Hải, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",15.97863,108.25031
"28 Huỳnh Bá Chánh, Phường Hoà Hải, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",15.98843,108.25511
"tổ 6 thôn 7a, Xã Tiên Cảnh, Huyện Tiên Phước, Tỉnh Quảng Nam",15.46182,108.296
"80 võ chí công, Phường Hoà Hải, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",15.9833,108.25295
"Số 19, Ngõ 62, Phố Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Thành phố Hà Nội",21.04337,105.80962
"470 Trần Đại Nghĩa, Phường Hoà Hải, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",15.97893,108.25502
"Số 47, Mai Đăng Chơn, Phường Hoà Quý, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",15.98485,108.23966
"Số 270, đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Thành phố Hà Nội",21.05708,105.86612
"96 Nguyễn Thức Tự, Phường Hoà Quý, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",15.98039,108.24928
"Số 366, đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Thành phố Hà Nội",21.06091,105.86326
"90 Nguyễn thức tự, Phường Hoà Quý, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",15.98038,108.24931
"Số 565, đường Quang Trung, Phường 11, Quận Gò Vấp, Thành phố Hồ Chí Minh",10.83466,106.66404
"346 Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Thành phố Hồ Chí Minh",10.82641,106.64061
"94 Nguyễn Thức Tự, Phường Hoà Quý, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",15.98039,108.24928
"43/3 Đường Thành Thái, Phường 14, Quận 10, Thành phố Hồ Chí Minh",10.77155,106.66502
